slippery as an eel;aalglatt
hinge (n.);Scharnier (n., -e)
silhouette;Schattenriss (m., -e)
treasure, sweetheart;Schatz (m., ¨-e)
value, esteem, treasure, cherish;schätzen
guess, approximation, estimate;Schätzung (f., -en)
approximately, estimated;schätzungsweise
horrible, dreadful;schauderhaft
shovel, scoop, bale;schaufeln
display window, showcase;Schaufenster (n., --)
window shopping;Schaufensterbummel machen (einen)
swing, rock, seesaw;schaukeln
froth, foam;schäumen
bushel;Scheffel (m., --)
panes, plates, discs;Scheiben (pl.)
border, edge;Scheide (f., -n)
separate, divide, divorce;scheiden (scheidet, schied, geschieden)
bill (currency);Schein (m., -e)
seeming, apparent;scheinbar
shine, seem;scheinen (scheint, schien, geschienen)
flounder, be wrecked, collapse;scheitern
scold, reproach;schelten (schilt, schalt, gescholten)
stool;Schemel (m. --)
shard, fragment;Scherbe (f., -n)
not care about;scheren sich nicht an
Kidding aside.;Scherz beiseite. 
shy, timid;scheu
avoid, eschew, fear, shy away from;scheuen
scrub, scour;scheuern
barn;Scheune (f., -n)
shocking, abominable, unspeakable;scheußlich
layer, deposit, tier, stratum;Schicht (f., -en)
luck, fate, fortune, destiny;Schicksal (n.)
push, shove;schieben (schiebt, schob, geschoben)
racketeer, slide, bolt, gate;Schieber (m., --)
scam, fix, put-up job;Schiebung (f., -en)
askant, askew, aslant, wry;schief
squint;schielen
railway line, track;Schienenstrang (n., ¨-e)
shoot;schießen (schießt, schoß, geschossen)
shield (n.);Schild (m., -e)
sign (n.);Schild (n., -er)
turtle;Schildkröte (f., -n)
mold, mildew, gray or white horse;Schimmel (m., --)
insult, call names;schimpfen
swear word, cuss word;Schimpfwort (n., ¨-e)
clapboard, shingle;Schindel (f., -n)
skin;schinden (schindet, schund, geschunden)
slave driver, oppressor;Schinder (m., --)
umbrella, shield;Schirm (m., -e)
battle (n.);Schlacht (f., -en)
kill, butcher, slaughter;schlachten
battle field;Schlachtfeld (n., -er)
temple, forehead;Schläfe (f., -n))
sleep;schlafen (schläft, schlief, geschlafen)
bedtime;Schlafenszeit (f., -en)
sleepy;schläfrig
artery;Schlagader (f.)
stroke, apoplexy;Schlaganfall (m., ¨-e)
toll gate, toll bar;Schlagbaum (m., ¨-e)
hit, beat, strike;schlagen (schlägt, schlug, geschlagen)
hit song or film;Schlager (m., --)
pothole;Schlagloch (n., ¨-er)
slogan, buzzword, catch phrase;Schlagwort (n., ¨-er)
headlines;Schlagzeilen (pl.)
mud, sludge, silt;Schlamm (m.)
muddy;schlammig
slovenly, sloppy;schlampig
snake, queue, long line;Schlange (f., -n)
snake, weave, worm, meander;schlängeln sich
slim, slender;schlank
sly;schlau
tube, hose;Schlauch (m.)
rubber dinghy, life raft;Schlauchboot (n., -e)
sneak, creep, slink;schleichen (scheicht, schlich, geschlichen)
veil, haze, fog, mist, mystery;Schleier (m., --)
grind, polish;schleifen (schleift, schliff, geschlichen)
phlegm, mucus, slime;Schleim (m., -e)
amble, stroll, roam, saunter;schlendern
tugboat;Schleppboot (n., -e)
catapult, fling, shoot;schleudern
plain, simple, modest;schlicht
settle (as in accounts);schlichten
mediation, conciliation, settlement;Schlichtung (f., -en)
completely, utterly;schlichtweg
close, lock, shut;schließen (schließt, schloß, geschlossen)
in closing, lastly, in conclusion;schließlich
shutdown, closure, closing, consummation;Schließung (f., -en)
bad, dire;schlimm
gulp, devour, weave;schlingen (schlingt, schlang, geschlungen)
castle, padlock, lock;Schloß (m., ¨-sser)
gorge, gulch, ravine;Schlucht (f., -en)
sob, snivel;schluchzen
sip, dram, nip (n.);Schlückchen (n., --)
swallow, gulp;schlücken
shuffle;schlurfen
the end, conclusion;Schluß (m., ¨-sse)
languish, pine, languor;schmachten
slight, thin;schmächtig
disgraceful, ignominious, ignoble;schmachvoll
revile, abuse, slander, smear;schmähen
narrow;schmal
flatter, cajole, coax, bootlick;schmeicheln
fling, hurl, throw;schmeißen (schmeißt, schmiß, geschmissen)
melt;schmelzen (schmilzt, schmolz, geschmolzen)
pot belly, paunch;Schmerbauch (m.)
pain, ail, irk, ache;schmerzen
butterfly;Schmetterling (m., -e)
blare, belt out, clang, shiver;schmettern
forge;schmieden
nestle, nuzzle;schmiegen
cling or cuddle up to;schmiegen sich an
greasy, sleazy, messy;schmierig
sulk;schmollen
stew (food);schmoren
jewelry;Schmuck (m., -stücke)
decorate, bedeck, adorn;schmücken
smuggle;schmuggeln
smile amusedly;schmunzeln
grime, dirt, filth, squalor;Schmutz (m.)
buckle, snap (n.);Schnalle (f., -n)
hard liquor;Schnaps (m., ¨-e)
snore;schnarchen
snort;schnauben
cut;schneiden (schneidet, schnitt, geschnitten)
sniff;schniefen
scrounge, mooch, bum;schnorren
sniff, snoop, pry;schnüffeln
head cold;Schnupfen (m., --)
don't care or give a damn;schnuppe, es ist ihm
lace, string, line;Schnur (f., -e)
purr;schnüren
lace, tie up;schnüren
direct, straight away, on the spot;schnurstracks
well in advance;schon lange vorher
spare, go easy on, treat with care;schonen
protection, quarter;Schonung (f.)
pitiless, unsparing, relentless;schonungslos
scoop, ladle (v.);schöpfen
creative, inventive;schöpferisch
smokestack;Schornstein (m., -e)
lap, womb, coat tail;Schoß (m., ¨-e)
sloping, slanting, oblique, diagonal;schräg
gate, barrier, resistor, bound (math);Schranke (f., -n)
cross, fold;schränken
frighten;schrecken (schrickt, schrack, erschrocken)
write;schreiben (schreibt, schrieb, geschrieben)
paperwork;Schreiberei (f., -en)
scream, shriek, cry;schreien (schreit, schrie, geschrien)
stride, step;schreiten (schreitet, schritt, geschritten)
written;schriftlich
writer;Schriftsteller (m., --)
flashy, strident, shrill;schrill
step by step;schrittweise
scrap (metal);Schrott (m., ¨-e)
drawer;Schublade (f., -n)
bashful, shy, timid;schüchtern
scoundrel, rascal, cad;Schufte (m., --)
shoe polish;Schuhkrem (f.)
graduate from high school;Schulabschluss machen (m.)
guilt, fault, blame (n.);Schuld (f., -en)
owe;schulden
culpable;schuldhaft
trash, rubbish, offal;Schund (m.)
scale, dandruff (pl.);Schuppe (n., -n)
shed;Schuppen (m., --)
incite, stir up, rake;schüren
apron;Schürze (f., -n)
shake, jolt;schütteln
protection, shelter (n.);Schutz (m.)
charge, ward;Schutzbefohlene (f., -n)
protect, shelter, defend;schützen
protective tariff;Schutzzoll (m., --)
weaken, debilitate;schwächen
brother-in-law;Schwager (m., ¨-)
gush, torrent, flood;Schwall (m., -e)
sponge, eraser;Schwamm (m., ¨-e)
fluctuate, vacillate;schwanken
skip, play truant;schwänzen
rhapsodize, rave, swarm;schwärmen
excessive enthusiasm or fancy;Schwärmerei (f.)
blab, gossip, babble;schwatzen
chat, twaddle, prate;schwätzen
suspense (as in the air);Schwebe (f.)
hover, waft, float, impend;schweben
floating, suspended, pending, undetermined;schwebend
ramble (speech);schweifen
be silent;schweigen (schweigt, schwieg, geschwiegen)
in silence, closemouthed, hushed;schweigend
perspiration, sweat;Schweiß (m.)
smoulder;schwelen
revel in;schwelgen in
threshold, window sill, doorstep;Schwelle (f., -n)
swell, rise, increase;schwellen (schwillt, schwoll, geschwollen)
threshold value or level;Schwellenwert (m., -e)
revel, luxuriate;schwelzen
scarcely, hardly;schwerlich
emphasis, focus, center of gravity;Schwerpunkt (m., ¨-e)
grave, profound, weighty;schwerwiegend
swim, float;schwimmen (schwimmt, schwamm, geschwommen)
giddy, dizzy;schwindelig
disappear, dwindle;schwinden (schwindet, schwand, geschwunden)
consumption, tuberculosis;Schwindsucht (f.)
swing;schwingen (schwingt, schwang, geschwungen)
whirr, buzz, whiz;schwirren
perspire, sweat;schwitzen
swear, take an oath;schwören (schwört, schwur, geschworen)
gay, homosexual;schwul
sultry, muggy, sweltering, close;schwül
shrinkage, decline;Schwund (m.)
swing, energy, drive;Schwung (m.)
sea, ocean;See (f.)
lake;See (m., -n)
soul;Seele (f., -n)
canvas;Segeltuch (n., -e)
blessing;Segen (m.)
bless;segnen
see;sehen (sieht, sah, gesehen)
sight, attraction;Sehenswürdigkeit (f., -en)
crave, yearn for, long for;sehnen sich nach
anxious, eager, ardent;sehnlich
longing, desire;Sehnsucht (f.)
silk;seiden
were …;seien … gewesen
were …;seien … worden
Don't be mad at me!;Seien Sie mir nicht böse! 
rope, cord;Seil (n., -e)
be;sein (ist, war, gewesen)
since (conj. because and prep. since);seit
since (conj. only);seitdem
shoulder, curb (road);Seitenstreifen (m.)
self-respect, self-esteem;Selbsachtung (f.)
self-sacrifice;Selbstaufopferung (f., -en)
self confidence;Selbstbewußtsein (n.)
smug, self-important, priggish, egotistic;selbstgefällig
self-sufficient;selbstgenügsam
commit suicide;Selbstmord begehen
single handed, independent ;selbstständig (und allein)
self-esteem, self-respect;Selbstwertgefühl (n.)
blessed;selig
seldom, rarely, rare, scarce;selten
rarity, curiosity;Seltenheit (f., -en)
strange, curious;seltsam
send, transmit;senden (sendet, sandte*, gesandt*)
broadcasting station, sender;Sender (m., --)
mustard;Senf (m.)
perpendicular, vertical;senkrecht
sentiment, sentimentality;Sentimentalität (f.)
settled, resident;seßhaft
settle down;seßhaft werden
set, put;setzen
quarrel, argue, grapple;setzen sich auseinander
seedling;Setzling (m., -e)
sigh;seufzen
warring;sich bekriegend
safety, certainty, confidence;Sicherheit (f., -en)
security measure;Sicherheitskontrolle (f., -n)
secure, ensure, assure;sichern
sight (as in, in view);Sicht (f.)
visible, in sight;sichtbar
sort out, sift;sichten
visibly;sichtlich
seep, ooze, drip, trickle;sickern
You're right!;Sie haben recht! 
settle, locate;siedeln
victory (n.);Sieg (m., -e)
affix a seal, seal a document;siegeln
triumphant;siegstrunken
custom, practice, habit;Siffe (f., -n)
syllable;Silbe (f., -n)
sing;singen (singt, sang, gesungen)
sink;sinken (sinkt, sank, gesunken)
sense, meaning, intellect, mind (n.);Sinn (m., -e)
symbol, emblem;Sinnbild (n., -er)
think, reflect, plan;sinnen (sinnt, sann, gesonnen)
sit;sitzen (sitzt, saß, gesessen)
be left on the shelf, back, or with the goods;sitzenbleiben auf
meeting, conference;Sitzung (f., -en)
slave, serf, bondsman;Sklave (m., -n)
emerald;Smarargd (m.)
as … as (as good as, as high as, etc.);so … wie
That's what you think!;So sieht du aus! 
so-so;so ziemlich
such;so, solch
as soon as;sobald
just now;soeben
inasmuch as, insofar as;sofern
unless;sofern nicht, sofern kein
at once;sofort
yet, even;sogar
even less;sogar weniger
so-called, would-be;sogennant
immediately, at once;sogleich
such;solch
should;sollen (soll, sollte, gesollt)
consequently, accordingly;somit
therefore, consequently;sonach
without, special (in compound nouns);sonder
rather, instead, on the contrary;sondern (conj.)
separate, distinguish;sondern (v.)
sun tanned, bronzed, tanned;sonnengebräunt
sunburnt;sonnenverbrannt
snatches of sunshine;sonnige Augenblicke (pl.)
otherwise;sonst
anything else;sonst noch etwas
care for, prepare for;sorgen
worry about;sorgen sich
uneasy, troubled;sorgenvoll
careful, painstaking;sorgfältig
careless;sorglos
careful, heedful;sorgsam
sovereign;souverän
as far as;soweit
as far as the eye can see;soweit das Auge reicht
in as much as;soweit wie
anyway;sowieso
both … and;sowohl … als auch
socially acceptable;sozialverträglich
spy, peek, look out, peer;spähen
trellis;Spalier (n., -e)
fissure, seam, crack, disruption;Spalt (m., -e)
column, split, cleavage;Spalte (f.)
split, cleave, bifurcate;spalten
span, stretch, strain;spannen
thrilling, tense;spannend
economize, use sparingly;sparen
spare, sparse, scanty;spärlich
sparrow;Spatz (m., -en)
walk leisurely, stroll;spazieren
hauler, carrier, shipper, stevedore;Spediteur (m., -e)
spit, vomit;speien (speit, spie, gespieen)
meal;Speise (f., -n)
dining hall;Speisesaal (m., -säle)
spectacle;Spektakel (n.)
dive;Spelunke (f., -n)
treat someone to something;spendieren j-m etwas
space or spread out, shut, close;sperren
barrage;Sperrfeuer (n.)
restricted area, prohibited area;Sperrgebiet (n.)
unwieldy, cumbersome, bulky;sperrig
specialize;spezialisieren
interlace, interlard;spicken
mirror, reflect;spiegeln
performance, game, play (n.);Spiel (n., -e)
score (n., in a game);Spielstand (m., ¨-e)
toy, plaything;Spielzeug (n., -e)
spear, pike, skewer;Spieß (m.)
spin, be crazy;spinnen (spinnt, spann, gesponnen)
point, tip, extremity, peak;Spitze (f., -n)
sharpen, prick up;spitzen
highest quality;Spitzenqualität (f.)
stark naked;splitternackt
spontaneous, offhand;spontan
sportsman, athlete;Sportler (m., --)
sports car, stroller;Sportwagen (m., --)
mockery, derision, scorn;Spott (m.)
speak;sprechen (spricht, sprach, gesprochen)
straddle, spread;spreizen
spread, straddle;spreizen
sprout, bud;sprießen (sprießt, sproß, gesprossen)
jump, leap, explode;springen (springt, sprang, gesprungen)
sprint;sprinten
spray, splatter, splash, squirt;spritzen
brittle, prim, demure, chapped, prudish;spröde
crack (n.);Sprung (m., ¨-e)
spit, spew;spucken
spooky;spukhaft
rinse, wash (dishes), swill, flush;spülen
footprint, track, trace (n.);Spur (f., -en)
track down, sense;spüren
without a trace, trackless;spurlos
nationality, citizenship;Staatsangehörigkeit (f.)
citizen;Staatsbürger (m., --)
citizenship;Staatsbürgerschaft (f., -en)
coup d'etat;Staatsstreich (m., -e)
city dweller;Stadtbewohner (m., --)
outskirts, periphery;Stadtrand (m.)
stable, barn;Stall (m., ¨-e)
tribe, root, family, trunk;Stamm (m., ¨-e)
stem from, come from;stammen aus
stocky, burley;stämmig
state, situation;Stand (m., ¨-e)
steadfast, firm, unwavering;standhaft
bear up against, resist;standhalten
permanent, perpetual;ständig
site, location;Standort (m., -e)
pole, rod, shaft;Stange (f., -n)
stalk, stem;Stängel (m., --)
strong, vigorous, considerable;stark
stiff, motionless;starr
gaze, stare;starren
in lieu of;statt
proceed, take place, occur;stattfinden
traffic jam;Stau (m.)
dust (n.);Staub (m.)
dusty;staubig
marvel at, be amazed, be astonished;staunen
sting, prick, stab;stechen (sticht, stach, gestochen)
goose step;Stechschritt (m.)
stick into, place;stecken
stand, be located, become (friends);stehen (steht, stand, gestanden)
pause, tarry;stehen bleiben
steal;stehlen (stiehlt, stahl, gestohlen)
boot (n.);Steifel (m., --)
climb, increase, rise;steigen (steigt, stieg, gestiegen)
place, spot, job, position, digit;Stelle (f., -n)
put, place, set;stellen
ensure, make sure that;stellen sicher
vacant or open position or offering (emp.);Stellenangebot (n., -e)
sporadically, here and there;stellenweise
position, attitude, posture, situation;Stellung (f., -en)
statement, comment, opinion;Stellungnahme (f., -n)
acting, substitute, deputy;stellvertretend
proxy, substitute, acting representative;Stellvertreter (m., --)
to stem;stemmen
press against, oppose, resist;stemmen sich gegen
die;sterben (stirbt, starb, gestorben)
mortal;sterblich
stereo, stereo equipment;Stereoanlage (f., -n)
star-shaped, starlike;sternförmig
shooting star;Sternschnuppe (f., -n)
always, ever;stets
tax (n.);Steuer (f., -n)
rudder, helm;Steuer (n., --)
taxable, controllable, assessable;steuerbar
rudderless, directionless;steuerlos
steer, pilot, helm (v.);steuern
taxpayer;Steuerzahler (m., --)
valid, sound, solid, cogent;stichhaltig
stride;stiefeln
stepson;Stiefsohn (m., ¨-e)
stem, shaft;Stiel (m., -e)
stare at;stieren auf
found, donate, originate;stiften
style;Stil (m., -e)
still, tranquil, silent;still
shutdown;Stillegung (f., -en)
eligible to vote, enfranchised;stimmberechtigt
voice, vote (n.);Stimme (f., -n)
right to vote;Stimmrecht (n.)
mood, temperament, humor, sentiment;Stimmung (f., -en)
stimulate, excite;stimulieren
stink;stinken (stinkt, stank, gestunken)
be hopping mad, angry, furious;Stinkwut haben (f.)
scholarship, award;Stipendium (n., -ien)
brow, forehead;Stirn (f., -e)
stop, falter, hesitate, stop short;stocken
groan;stöhnen
stumble, trip;stolpern
proud;stolz
strut;stolzieren
trouble, disturb, bother;stören
stubborn, obstinate, intractable, pigheaded;störrisch
disturbance, perturbation, breakdown, bug;Störung (f., -en)
push, shove, thrust;stoßen (stößt, stieß, gestoßen)
bumper (car);Stoßstange (f., -n)
stutter, stammer;stottern
punishable;strafbar
punish, rebuke;strafen
tighten, tauten, tense up;straffen
criminal law;Strafrecht (n.)
trial lawyer;Strafverteidiger (m., --)
traffic or parking ticket;Strafzettel (m., --)
radiate, emit rays;strahlen
tight, sturdy, strong;stramm
lifeguard;Strandwächter (m., --)
strain, exertion;Strapaze (f., -n)
pavement, tarmac;Straßenbelag (m.)
